group_by,group_value,n,metric,path_a_mean,path_b_mean,path_c_mean,winner
layout_sensitivity,high,25,context_precision,0.898833,0.828613,0.889774,path_a
layout_sensitivity,high,25,context_recall,0.643238,0.628524,0.706762,path_c
layout_sensitivity,high,25,faithfulness,0.640873,0.670968,0.701804,path_c
layout_sensitivity,high,25,answer_relevancy,0.423933,0.520818,0.545277,path_c
layout_sensitivity,low,1,context_precision,0.804167,1.0,1.0,tie
layout_sensitivity,low,1,context_recall,0.8,0.8,0.25,tie
layout_sensitivity,low,1,faithfulness,0.25,0.25,,tie
layout_sensitivity,low,1,answer_relevancy,0.627343,0.678809,0.0,path_b
layout_sensitivity,medium,4,context_precision,0.4875,0.496528,0.766667,path_c
layout_sensitivity,medium,4,context_recall,0.395833,0.520833,0.791667,path_c
layout_sensitivity,medium,4,faithfulness,0.798611,0.7,0.875556,path_c
layout_sensitivity,medium,4,answer_relevancy,0.090156,0.362458,0.595071,path_c
question_type,FIN,18,context_precision,0.887269,0.825405,0.941757,path_c
question_type,FIN,18,context_recall,0.624074,0.593981,0.666667,path_c
question_type,FIN,18,faithfulness,0.57284,0.594245,0.645702,path_c
question_type,FIN,18,answer_relevancy,0.27119,0.53316,0.476088,path_b
question_type,GOV,3,context_precision,0.983333,0.903208,0.781316,path_a
question_type,GOV,3,context_recall,0.866667,0.869048,0.77381,path_b
question_type,GOV,3,faithfulness,0.715278,0.75,0.875,path_c
question_type,GOV,3,answer_relevancy,0.505239,0.658802,0.791091,path_c
question_type,OPS,4,context_precision,0.951042,0.898683,0.951775,path_c
question_type,OPS,4,context_recall,0.75,0.791667,0.825,path_c
question_type,OPS,4,faithfulness,0.85,0.581781,0.846429,path_a
question_type,OPS,4,answer_relevancy,0.788375,0.329048,0.432774,path_a
question_type,REG,1,context_precision,1.0,1.0,1.0,tie
question_type,REG,1,context_recall,0.714286,0.714286,0.714286,tie
question_type,REG,1,faithfulness,0.833333,1.0,0.833333,path_b
question_type,REG,1,answer_relevancy,0.797575,0.346013,0.552622,path_a
question_type,RISK,2,context_precision,0.25,0.457986,0.573611,path_c
question_type,RISK,2,context_recall,0.0,0.125,0.75,path_c
question_type,RISK,2,faithfulness,0.0,0.5,0.666667,path_c
question_type,RISK,2,answer_relevancy,0.0,0.186852,0.643588,path_c
question_type,SUS,2,context_precision,0.5,0.311905,0.530556,path_c
question_type,SUS,2,context_recall,0.458333,0.583333,0.625,path_c
question_type,SUS,2,faithfulness,,1.0,,
question_type,SUS,2,answer_relevancy,0.619044,0.769947,0.749222,path_b
