question_id,layout_sensitivity,question_type,company_id,sector,doc_type,question,context_precision_path_a,context_recall_path_a,faithfulness_path_a,answer_relevancy_path_a,context_precision_path_b,context_recall_path_b,faithfulness_path_b,answer_relevancy_path_b,context_precision_path_c,context_recall_path_c,faithfulness_path_c,answer_relevancy_path_c
OPS-99SM-02,high,OPS,99SMART-2025,Consumer/Retail,Integrated AR,"How many total outlets did 99 Speed Mart operate at end FY2025, how many were added, and what is the 2026 target?",0.8041666666,0.6666666667000001,0.6000000000000001,0.6852959501,0.9765432099,0.6666666667000001,0.5714285714,0.8737351951000001,0.9472222222000001,0.6666666667000001,0.6000000000000001,0.673763878
FIN-OKOPI-04,high,FIN,OKOPI-2025,Consumer/Retail-F&B,Annual Report,How much did Oriental Kopi raise in its IPO and what was the utilisation status as at 30 September 2025?,1.0,1.0,,0.0,1.0,0.33333333330000003,0.30000000000000004,0.8034492174000001,1.0,1.0,0.375,0.8879942626
FIN-KPJ-Q3-02,high,FIN,KPJ-Q3-2025,Healthcare,Q3 Interim FS,"What are all dividend tranches declared and paid for FY2025 as disclosed in the KPJ Q3 report, including the post-period declaration?",0.6791666666,0.6666666667000001,,0.8303328310000001,0.8301587301000001,0.6666666667000001,,0.8303328316,0.9166666666000001,0.1666666667,1.0,0.6302391051
FIN-PADINI-03,medium,FIN,PADINI-2025,Consumer/Fashion,Integrated AR,"What are all dividend tranches declared for FY2025 and the post-period FY2026 interim, and what was the payout ratio?",1.0,0.33333333330000003,0.7222222222,0.0,1.0,0.6666666667000001,0.7000000000000001,0.0,1.0,0.6666666667000001,0.96,0.0
REG-TNB-05,high,REG,TNB-2025,Utilities/Energy,Integrated AR,What is IBR Regulatory Period 4 (RP4) and what RE capacity milestones did TNB achieve or progress in FY2025?,1.0,0.7142857143,0.8333333333,0.7975751093,1.0,0.7142857143,1.0,0.3460126106,1.0,0.7142857143,0.8333333333,0.5526220051
OPS-YTLP-04,high,OPS,YTLP-2025,Utilities/Telco/Tech,Annual Report,"What is Wessex Water's Regulatory Asset Base (RAB) value in FY2025, its capital investment plan for 2025–2030, and the key financing milestone achieved in March 2025?",1.0,1.0,1.0,0.9259432897000001,0.7947278911000001,1.0,1.0,0.0,1.0,1.0,1.0,0.0
GOV-IHH-02,high,GOV,IHH-2025,Healthcare,Sustainability Report,"What percentage of non-financial BSC targets were linked to sustainability at IHH, and what was the climate-specific proportion in 2025 vs 2026?",1.0,1.0,,0.7078181689,0.8802579365000001,1.0,0.75,0.7078181679000001,0.8106150794,1.0,0.75,0.6617463059
FIN-CIMB-01,high,FIN,CIMB-2025,Banking,Integrated AR,"What was CIMB Group's net profit, ROE, and total income for FY2025, and how did these compare to FY2024?",0.5833333333,0.5,,0.0,0.9467813051,0.5,,0.0,0.9467813051,0.5,0.75,0.8527440412
FIN-GENT-01,high,FIN,GENT-2025,Leisure/Gaming,Annual Report,"What was Genting Malaysia's revenue and Adjusted EBITDA for FY2025, and by how much did each grow year-on-year?",1.0,1.0,1.0,0.8788086407,0.8755456349,1.0,0.6363636364,0.6954816239,0.9888888889,0.5,0.8181818182,0.6954816241
SUS-IHH-01,high,SUS,IHH-2025,Healthcare,Sustainability Report,What was IHH Healthcare's GHG intensity in FY2025 vs the 2022 baseline?,1.0,0.6666666667000001,,0.8774644784000001,0.49880952380000004,0.5,1.0,0.8743947155,0.1944444444,0.5,,0.8359600615
FIN-OKOPI-02,high,FIN,OKOPI-2025,Consumer/Retail-F&B,Annual Report,What was Oriental Kopi's segmental revenue breakdown for FY2025 and which was the fastest-growing segment?,1.0,1.0,,0.8426810342000001,0.785670194,0.8,,0.6546022162,0.9888888889,1.0,,0.8093908767
FIN-PBB-01,high,FIN,PBB-2025,Banking,Financial Statements,What was Public Bank's net profit and total DPS for FY2025?,0.5,0.0,,0.0,0.7064814815,0.5,,0.0,0.8755456349,0.5,,0.0
SUS-SDG-05,medium,SUS,SDG-2025,Plantation,Integrated AR,What was SD Guthrie's SPOTT ranking and overall score in 2025?,0.0,0.25,,0.3606235253,0.125,0.6666666667000001,,0.6654994449,0.8666666666,0.75,,0.6624844553
FIN-SDG-01,high,FIN,SDG-2025,Plantation,Integrated AR,"What was SD Guthrie's net profit for FY2025, its YoY change, and was it a record high?",0.8666666666,1.0,,0.7230075367000001,0.5845238095,0.33333333330000003,,0.8272826763000001,0.8303571428000001,0.6666666667000001,0.75,0.7230075367000001
FIN-TNB-01,high,FIN,TNB-2025,Utilities/Energy,Integrated AR,"What was TNB's revenue, PATAMI, DPS and dividend payout ratio in FY2025, and how did these compare to FY2024?",1.0,0.4,0.7000000000000001,0.0,0.7857142857,0.4,0.7368421053,0.6785564095000001,1.0,0.4,0.5,0.0
FIN-BURSA-02,high,FIN,BURSA-2025,Exchange,Integrated AR,"What was the breakdown of Bursa Malaysia's FY2025 operating revenue between trading and non-trading, and what were the major trading revenue components?",0.9500000000000001,0.6666666667000001,0.8333333333,0.9792433661000001,0.962654321,0.8333333333,0.875,0.0,1.0,1.0,0.5,0.8467514591
GOV-KPJ-04,medium,GOV,KPJ-2025,Healthcare,Integrated AR,"What was the total Board remuneration paid by KPJ Healthcare (Group) for FY2025, broken down by directorate category?",0.9500000000000001,1.0,0.875,0.0,0.8611111111,0.75,,0.4106282519,1.0,0.75,1.0,0.94736816
GOV-GENT-03,high,GOV,GENT-2025,Leisure/Gaming,Annual Report,"What was the total remuneration received by Tan Sri Lim Kok Thay as Deputy Chairman and CEO of Genting Malaysia for FY2025, and what was the breakdown by component?",1.0,0.6000000000000001,0.5555555556,0.8078975998,0.9682539682,0.8571428571,,0.8579592037,0.5333333333,0.5714285714,0.875,0.7641588492
FIN-99SM-01,high,FIN,99SMART-2025,Consumer/Retail,Integrated AR,"What were 99 Speed Mart's revenue, net profit and YoY growth rates for FY2025?",0.8333333333,0.5,0.25,0.0,1.0,0.5,0.75,0.7670031953,0.962654321,1.0,1.0,0.7304650192000001
FIN-BURSA-01,high,FIN,BURSA-2025,Exchange,Integrated AR,What were Bursa Malaysia's PATAMI and operating revenue for FY2025 vs FY2024?,1.0,1.0,0.5,0.0,0.9282627866000001,0.5,,0.8049326641000001,0.962654321,0.75,,0.84108277
FIN-CIMB-03,medium,RISK,CIMB-2025,Banking,Integrated AR,"What were CIMB Group's CET1 ratio and GIL ratio as at end-2025, and what was the YoY movement in each?",0.0,0.0,,0.0,0.0,0.0,,0.3737041023,0.2,1.0,0.6666666667000001,0.7704316985
FIN-KPJ-01,high,FIN,KPJ-2025,Healthcare,Integrated AR,"What were KPJ Healthcare's Group revenue and EBITDA for FY2025, and what milestones did these represent?",0.9500000000000001,1.0,,0.0,0.7639455782,1.0,0.5,0.8920852325,0.7142857143,1.0,0.6666666667000001,0.8920852323
FIN-KPJ-Q3-01,high,FIN,KPJ-Q3-2025,Healthcare,Q3 Interim FS,"What were KPJ's revenue, EBITDA, PBT and PAT for the 9 months ended 30 September 2025 (continuing operations), and why does the YoY PAT comparison appear negative at total group level?",1.0,0.2,0.4,0.0,0.8782627866,0.4,,0.0,1.0,0.6000000000000001,0.0,0.0
FIN-NEST-01,high,FIN,NEST-2025,FMCG,Annual Report,"What were Nestlé Group's total sales and net profit attributable to shareholders for FY2025, and what were the respective margins?",1.0,0.33333333330000003,0.5,0.0,0.4444444444,0.33333333330000003,,0.46194573120000004,0.9500000000000001,1.0,0.4285714286,0.0
FIN-PADINI-01,low,FIN,PADINI-2025,Consumer/Fashion,Integrated AR,"What were Padini's revenue, PBT, gross profit margin and PAT for FY2025 vs FY2024?",0.8041666666,0.8,0.25,0.627343497,1.0,0.8,0.25,0.6788093848,1.0,0.25,,0.0
RISK-PBB-03,high,RISK,PBB-2025,Banking,Financial Statements,"What were Public Bank's CET1, Tier 1, Total Capital ratios and average LCR for FY2025?",0.5,0.0,0.0,0.0,0.9159722222000001,0.25,0.5,0.0,0.9472222222000001,0.5,,0.5167441841
OPS-TNB-03,high,OPS,TNB-2025,Utilities/Energy,Integrated AR,"What were TNB's SAIDI for Peninsular Malaysia and Sabah, EAF and Transmission System Minutes in FY2025 vs FY2024?",1.0,0.6666666667000001,0.8,0.7141891097,0.9067956349,1.0,0.1739130435,0.4424555907,0.962654321,0.8,0.7857142857,0.287505668
SEG-YTLP-02,high,FIN,YTLP-2025,Utilities/Telco/Tech,Annual Report,"What were the revenue and PBT contributions of each of YTL Power's four segments in FY2025, and which segment swung from a loss to a profit?",1.0,0.8333333333,,0.0,0.8388888889,0.625,,0.5594751034000001,0.9055555555,0.5,,0.0
OPS-KPJ-Q3-03,high,OPS,KPJ-Q3-2025,Healthcare,Q3 Interim FS,"What were the terms, properties, consideration and completion timeline of KPJ's sale-and-leaseback transaction with Al-'Aqar Healthcare REIT in 2025?",1.0,0.6666666667000001,1.0,0.8280731888,0.9166666666000001,0.5,,0.0,0.8972222222,0.8333333333,1.0,0.7698267387000001
FIN-NEST-04,high,FIN,NEST-2025,FMCG,Annual Report,"Which was Nestlé's largest segment by sales in FY2025, and what were its sales revenue and trading operating profit?",0.8041666666,0.0,,0.0,0.5259523809000001,0.5,0.6000000000000001,0.9429305576,0.9093537415,0.5,,0.6603477098
